Course,,Discipline,,,CGPA,Company [on-campus/ off-campus/PPO],,Profile,,CTC Offered,,Type of Offer,
B.Tech,,Computer Science and Engineering,,,8.5,Adobe,,Member of Technical Staff,,14.85,,PPO,
B.Tech,,Computer Science and Engineering,,,7.72,Amazon India,,,,29.91,,PPO,
B.Tech,,Computer Science and Engineering,,,8.06,Amazon India,,,,29.91,,PPO,
Dual Degree,,Computer Science and Engineering,,,8.74,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.96,Amazon India,,,,29.91,,PPO,
B.Tech,,Computer Science and Engineering,,,9.15,Amazon India,,,,29.91,,PPO,
B.Tech,,Computer Science and Engineering,,,8.14,Amazon India(wow),,Associate Developer,,7.5,,PPO,
B.Tech,,Computer Science and Engineering,,,6.04,Amdocs,,,,10,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,6.07,Amdocs,,,,10,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.4,Amdocs,,,,10,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.62,Amdocs,,,,10,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.01,Arista Networks,,,,7,,PPO,
B.Tech,,Computer Science and Engineering,,,8.18,Arista Networks,,,,7,,PPO,
B.Tech,,Computer Science and Engineering,,,8.36,Arista Networks,,,,7,,PPO,
B.Tech,,Computer Science and Engineering,,,8.6,Arista Networks,,,,7,,PPO,
B.Tech,,Computer Science and Engineering,,,9.09,Arista Networks,,,,23.55,,On-Campus,
B.Tech,,Computer Science and Engineering,,,9.16,Arista Networks,,,,23.55,,On-Campus,
B.Tech,,Computer Science and Engineering,,,9.27,Arista Networks,,,,7,,PPO,
B.Tech,,Computer Science and Engineering,,,8.16,Atlassian,,,,26.57,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.56,Atlassian,,,,26.57,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.89,Barclays,,,,16.2,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.42,Barclays,,Business Analyst,,18.7,,PPO,
Dual Degree,,Computer Science and Engineering,,,6.88,Cashfree,,,,19,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.25,Ceromorphic,,,,30,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.1,Cognizent,,Base++,,10,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.23,Cogoport,,,,14,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.08,Decimal Technologies,,,,12,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.44,Expedia,,,,12.91,,Off campus,
B.Tech,,Computer Science and Engineering,,,6.11,Fiserv,,,,15,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.26,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.46,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.61,Flipkart,,Software Develpoment Engineer,,26.58,,PPO,
Dual Degree,,Computer Science and Engineering,,,8,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.36,Flipkart,,Software Develpoment Engineer,,26.58,,PPO,
B.Tech,,Computer Science and Engineering,,,8.89,Flipkart,,,,28.58,,On-Campus,
B.Tech,,Computer Science and Engineering,,,9.31,Flipkart,,Software Develpoment Engineer,,26.58,,PPO,
B.Tech,,Computer Science and Engineering,,,6.83,Florance Capital,,,,20,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.72,Goldman Sachs,,Software Engineer,,31.5,,PPO,
B.Tech,,Computer Science and Engineering,,,7.82,Goldman Sachs,,Software Engineer,,31.5,,PPO,
Dual Degree,,Computer Science and Engineering,,,7.92,Goldman Sachs,,,,23,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.24,Goldman Sachs,,Software Engineer,,31.5,,PPO,
B.Tech,,Computer Science and Engineering,,,8.27,Goldman Sachs,,,,23,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.46,Goldman Sachs,,Software Engineer,,31.5,,PPO,
B.Tech,,Computer Science and Engineering,,,8.5,Goldman Sachs,,,,23,,On-Campus,
B.Tech,,Computer Science and Engineering,,,9.07,Goldman Sachs,,Software Engineer,,31.5,,PPO,
B.Tech,,Computer Science and Engineering,,,7.49,Google India,,,,30.36,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,8.16,Google India,,Software Engineer,,30.36,,PPO,
B.Tech,,Computer Science and Engineering,,,8.16,Google India,,Software Engineer,,30.36,,PPO,
Dual Degree,,Computer Science and Engineering,,,8.47,Google India,,,,30.36,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.55,Google India,,Software Engineer,,30.36,,PPO,
B.Tech,,Computer Science and Engineering,,,8.59,Google India,,Software Engineer,,30.36,,PPO,
B.Tech,,Computer Science and Engineering,,,8.9,Google India,,Software Engineer,,30.36,,PPO,
B.Tech,,Computer Science and Engineering,,,9.13,Google India,,Software Engineer,,30.36,,PPO,
B.Tech,,Computer Science and Engineering,,,7.48,IBM,,,,15,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.45,Indeed,,,,24.65,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.97,Inmobi,,,,31.53,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,8.58,Inmobi,,,,31.53,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.96,Innovaccer,,APM,,12,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.2,Instabase,,,,10,,CDC Assisted Off-Campus,
B.Tech,,Computer Science and Engineering,,,8.11,Intuit,,Software Engineer,,37.26,,Off campus,
Dual Degree,,Computer Science and Engineering,,,7.54,Jaguar Landrover,,,,21.28,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.34,Meesho,,,,37,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.98,Meesho,,,,37,,On-Campus,
B.Tech,,Computer Science and Engineering,,,5.99,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.59,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.75,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.76,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.78,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.99,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.19,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,8.3,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.59,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,8.71,Microsoft India,,,,46.08,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,8.76,Microsoft India,,,,46.08,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,8.8,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,8.86,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,8.9,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,9.04,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,9.19,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,9.26,Microsoft India,,,,45.03,,PPO,
B.Tech,,Computer Science and Engineering,,,6.88,Money Forward,,,,45.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.47,Money Forward,,,,45.08,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.12,Morgan Stanley,,,,25.33,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.11,Myntra,,,,30,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.23,Myntra,,,,30,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.37,Myntra,,,,30,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.07,Navi Technology,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.44,Navi Technology,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.71,Navi Technology,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.14,Navi Technology,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,8.87,Navi Technology,,,,29,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.5,Nineleaps,,SDE,,12,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,7.59,Oracle,,,,31.95,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,6.03,PWC,,,,11.25,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.02,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.44,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.68,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,6.73,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.06,Reliance Jio (TS1),,,,18.5,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,7.11,Reliance Jio (TS1),,,,18.5,,On-Campus,
B.Tech,,Computer Science and Engineering,,,7.12,Reliance Jio (TS1),,,,18.5,,On-Campus,
Dual Degree,,Computer Science and Engineering,,,7.37,Reliance Jio (TS1),,,,18.5,,On-Campus,
